Station,Lon,Lat,data
58127,117.12,32.58,133.1666667
57260,111.31,32.34,133.0666667
58432,118.24,30.41,133.0666667
57398,114.37,31.17,133.0333333
57808,105.45,26.19,132.9
58346,119.49,31.2,132.9
57388,113.42,31.16,132.8666667
57643,109.5,29,132.8666667
57642,109.38,28.42,132.8333333
58337,118.11,31.05,132.8
58421,117.52,30.38,132.8
58241,119.27,32.48,132.7
57278,112.1,32.02,132.6333333
56284,103.29,30.25,132.6
57409,105.48,30.11,132.5333333
58235,118.5,32.21,132.5333333
57298,114.33,32.13,132.5
57914,106.4,26.25,132.4666667
57413,106.58,30.51,132.3333333
58523,117.56,29.56,132.3333333
57401,105.23,30.52,132.3
57894,114.1,26.35,132.3
58319,116.57,31.04,132.2666667
56641,98.52,26.54,132.1333333
58431,118.19,30.55,132.0666667
56489,103.38,28.14,131.9666667
57296,114.44,32.21,131.9333333
57503,105.07,29.37,131.9
57908,105.29,25.07,131.7666667
58438,118.35,30.05,131.7333333
58330,118.07,31.43,131.6666667
58441,119.25,30.53,131.6333333
56285,103.31,30.36,131.6
58243,119.5,32.56,131.5666667
56748,99.11,25.07,131.5
57408,105.21,30.07,131.4333333
56777,102.04,25.09,131.4
